epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,932.509,2.24794,2.21459,1.89512,0.24079,0.26266,0.17747,0.06113,2.33203,2.31184,2.05775,0.0086932,0.0086932,0.0086932
68,946.1,2.23807,2.21786,1.89824,0.26387,0.29067,0.18877,0.06396,2.33677,2.25469,1.99955,0.0086734,0.0086734,0.0086734
69,959.7,2.25691,2.22929,1.89533,0.23301,0.25938,0.16073,0.05409,2.36125,2.33259,2.10708,0.0086536,0.0086536,0.0086536
70,974.173,2.23855,2.24521,1.90915,0.23815,0.27221,0.18343,0.06092,2.28297,2.28448,2.05223,0.0086338,0.0086338,0.0086338
71,987.915,2.23184,2.22801,1.88925,0.26894,0.25551,0.20305,0.06703,2.35122,2.27014,2.0497,0.008614,0.008614,0.008614
72,1001.46,2.23746,2.22101,1.89343,0.27143,0.24836,0.18224,0.06032,2.358,2.30966,2.07544,0.0085942,0.0085942,0.0085942
73,1015.58,2.23511,2.19891,1.88927,0.26848,0.2743,0.19702,0.0654,2.35282,2.26458,2.08536,0.0085744,0.0085744,0.0085744
74,1029.5,2.24285,2.2006,1.88013,0.24324,0.24562,0.18168,0.06152,2.33388,2.38537,2.04215,0.0085546,0.0085546,0.0085546
75,1043.16,2.23665,2.18327,1.86897,0.25608,0.2751,0.19773,0.06614,2.31288,2.21644,2.02834,0.0085348,0.0085348,0.0085348
76,1057,2.2228,2.18474,1.86479,0.25608,0.27965,0.19396,0.06715,2.27451,2.23846,1.99139,0.008515,0.008515,0.008515
77,1071.01,2.22177,2.18566,1.87733,0.26021,0.2638,0.19893,0.06788,2.31073,2.22416,2.02141,0.0084952,0.0084952,0.0084952
78,1085.3,2.24003,2.19046,1.86987,0.27069,0.2821,0.21693,0.0759,2.30053,2.19676,2.01575,0.0084754,0.0084754,0.0084754
79,1098.37,2.22854,2.17245,1.87215,0.26882,0.27918,0.21649,0.07359,2.28569,2.19624,1.99025,0.0084556,0.0084556,0.0084556
80,1112.3,2.23732,2.16817,1.86067,0.26056,0.26374,0.18877,0.06179,2.37289,2.27647,2.02368,0.0084358,0.0084358,0.0084358
81,1125.81,2.19095,2.16605,1.85409,0.29811,0.29091,0.21535,0.07294,2.30862,2.23273,2.00825,0.008416,0.008416,0.008416
82,1139.6,2.21996,2.1816,1.86014,0.27772,0.26592,0.20576,0.07163,2.27668,2.23599,2.00305,0.0083962,0.0083962,0.0083962
83,1153.59,2.22311,2.18722,1.86823,0.27895,0.28384,0.21246,0.07397,2.28078,2.27183,1.95486,0.0083764,0.0083764,0.0083764
84,1167.61,2.19294,2.15514,1.85031,0.26834,0.26934,0.20144,0.07074,2.26793,2.20043,1.98596,0.0083566,0.0083566,0.0083566
85,1181.5,2.193,2.16574,1.85433,0.26069,0.27812,0.21416,0.07651,2.24318,2.19831,2.00429,0.0083368,0.0083368,0.0083368
86,1195.25,2.18788,2.13533,1.84379,0.29384,0.28777,0.22581,0.08201,2.26451,2.15575,1.97407,0.008317,0.008317,0.008317
87,1208.64,2.19231,2.14286,1.84284,0.26951,0.29536,0.21354,0.0752,2.27647,2.16592,2.043,0.0082972,0.0082972,0.0082972
88,1222.66,2.19837,2.13705,1.847,0.27578,0.29099,0.20996,0.0711,2.31056,2.23033,1.9855,0.0082774,0.0082774,0.0082774
89,1236.8,2.17565,2.1204,1.83942,0.28749,0.30037,0.23268,0.08359,2.25535,2.14021,2.018,0.0082576,0.0082576,0.0082576
90,1250.86,2.1994,2.10742,1.84184,0.27263,0.30392,0.23002,0.08438,2.24678,2.13733,1.9638,0.0082378,0.0082378,0.0082378
91,1264.86,2.17827,2.11414,1.82115,0.30537,0.31604,0.23934,0.08365,2.2219,2.12247,1.9593,0.008218,0.008218,0.008218
92,1278.31,2.17623,2.1105,1.84028,0.27425,0.2779,0.2099,0.07408,2.27781,2.21576,2.00163,0.0081982,0.0081982,0.0081982
93,1291.98,2.1558,2.1122,1.83569,0.28491,0.30622,0.22497,0.07763,2.25043,2.13399,1.96936,0.0081784,0.0081784,0.0081784
94,1306.08,2.16585,2.10595,1.82143,0.28637,0.30469,0.23686,0.08513,2.25712,2.15156,1.99195,0.0081586,0.0081586,0.0081586
95,1320.11,2.169,2.11062,1.83327,0.26656,0.27808,0.19761,0.06973,2.26134,2.22817,1.97281,0.0081388,0.0081388,0.0081388
96,1333.45,2.15945,2.10722,1.82279,0.34117,0.31421,0.24417,0.08709,2.2186,2.11426,1.94866,0.008119,0.008119,0.008119
97,1347.25,2.17264,2.0924,1.82183,0.2765,0.31535,0.23224,0.08293,2.20084,2.13911,1.96155,0.0080992,0.0080992,0.0080992
98,1361.7,2.15988,2.11713,1.83272,0.29953,0.3351,0.2477,0.0878,2.22727,2.103,1.92667,0.0080794,0.0080794,0.0080794
99,1375.4,2.14939,2.10142,1.82803,0.27781,0.31415,0.25082,0.09072,2.18766,2.0985,1.95709,0.0080596,0.0080596,0.0080596
100,1389.34,2.15759,2.0814,1.826,0.29207,0.3064,0.24396,0.088,2.23051,2.10521,1.97965,0.0080398,0.0080398,0.0080398
101,1402.8,2.15694,2.09749,1.825,0.32207,0.31649,0.26344,0.09454,2.22742,2.11504,1.91069,0.00802,0.00802,0.00802
102,1416.65,2.1428,2.10367,1.8338,0.3246,0.30852,0.25743,0.09038,2.26101,2.14917,1.93377,0.0080002,0.0080002,0.0080002
103,1430.46,2.13355,2.07363,1.81598,0.30799,0.31426,0.2584,0.0922,2.1884,2.09363,1.94828,0.0079804,0.0079804,0.0079804
104,1444.67,2.15944,2.07315,1.80697,0.31541,0.28571,0.25874,0.09424,2.18447,2.09634,1.93938,0.0079606,0.0079606,0.0079606
